coffee_id,Moisture,Color,Category One Defects,Category Two Defects,Quakers
#546930,10%,Brownish,0,0,0
#994657,10.50%,greenish,0,0,0
#725808,10%,Pale Yellow,0,5,0
#614786,11.30%,Green,0,4,0
#280251,10.10%,yellow green,0,0,0
#938229,9.90%,Green,0,1,1
#261460,11%,Green,0,1,0
#952428,10.90%,Green,0,0,0
#599652,9.50%,Green,0,2,0
#647123,11.70%,Green,0,1,3
#270359,11.60%,Yellow-Green,0,2,2
#680765,10.70%,greenish,0,0,0
#699883,9.50%,greenish,0,0,0
#541397,9.70%,Brownish,0,0,0
#777610,11.20%,Greenish,0,0,0
#350205,11.90%,Bluish-Green,0,2,3
#508075,11.20%,Green,0,5,1
#458680,10.40%,Green,0,0,0
#994915,10.30%,Bluish-Green,0,5,1
#874548,10%,Blue-Green,0,0,0
#444508,10%,Green,0,2,1
#194737,10.70%,Green,0,2,0
#975481,10.60%,Green,0,1,0
#940597,11.50%,Green,0,0,0
#695532,11.20%,Green,0,2,0
#917862,10.30%,Green,0,0,0
#210044,9.90%,Green,1,2,0
#240429,9.60%,Greenish,0,0,0
#797281,11.60%,brownish,0,0,0
#760524,11.30%,Bluish-Green,0,0,0
#409732,10.90%,Green,0,9,0
#439097,10.20%,Green,0,0,0
#462111,9.10%,Green,0,0,0
#741289,11.70%,Green,0,0,1
#748155,9.80%,Green,0,3,0
#231917,10.10%,Bluish-Green,0,1,0
#510790,11%,Yellow Green,0,4,5
#237025,9.20%,Green,0,5,1
#489089,10.10%,Yellow-green,3,7,0
#203399,10.30%,brownish,0,4,0
#955194,12.10%,Blue-Green,0,0,0
#797284,10.70%,Green,0,3,1
#586625,11.50%,Blue-Green,0,1,1
#918509,10%,yellow green,0,1,0
#781706,10%,Green,0,1,0
#176177,10.20%,Green,0,2,0
#988330,10.60%,yello-green,0,0,0
#882894,11.90%,Green,0,0,0
#114041,10.80%,Greenish,0,2,0
#902618,11%,Green,0,2,1
#605124,11.60%,Greenish,0,2,0
#932904,11%,Green,0,2,2
#119514,13.30%,Green,0,3,2
#529473,9.40%,Green,0,0,0
#740616,10.80%,greenish,0,0,0
#791934,11.30%,Green,1,1,1
#778301,9.80%,Greenish,0,3,0
#903758,11.90%,greenish,0,0,0
#820121,9.50%,Green,0,2,0
#927000,10%,Green,0,2,1
#279151,11.60%,yellowish,0,3,0
#187142,11.80%,Green,0,3,3
#849802,11.90%,Green,0,1,1
#656708,12%,Green,0,12,0
#858598,12.10%,Green,2,5,5
#170699,11%,Greenish,0,0,0
1,12%,Green,0,0,0
